PD_CD,KY_CD,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,PERP_SEX,PERP_RACE,DIA,MES
244,107,1402501,3,3,14,0,0,4,1,9
101,344,1200001,2,4,113,0,1,2,3,9
705,358,1700500,2,2,68,0,0,5,4,9
339,341,1552500,2,2,90,0,0,2,12,9
705,358,1702000,2,3,25,0,0,2,10,9
339,341,1552500,2,4,103,0,0,5,20,9
698,120,260250,3,4,114,0,0,6,5,9
922,348,512000,2,0,49,0,0,0,8,9
106,106,1200503,3,2,71,0,0,2,9,9
792,118,265031,3,0,46,0,0,5,13,9
639,361,2403001,2,0,47,0,1,6,1,9
397,105,1601503,3,3,6,0,0,2,13,9
339,341,1552500,2,4,110,0,0,2,4,9
268,121,1450502,3,3,5,3,0,4,6,9
203,352,140100,2,4,103,0,1,5,11,9
101,344,1200001,2,2,75,0,0,3,12,9
419,109,1553005,3,0,45,0,0,2,3,9
922,348,511001,2,2,75,0,0,5,9,9
439,109,1553001,3,4,110,0,1,5,19,9
760,126,2154002,3,3,32,1,0,4,19,9
269,121,145004,2,2,75,2,0,2,18,9
199,126,2155201,3,2,90,2,0,2,10,9
109,106,1200502,3,4,110,0,1,5,1,9
439,109,1553001,3,4,111,0,0,2,10,9
101,344,1200001,2,4,113,0,0,5,4,9
259,351,1450001,2,2,77,0,0,2,8,9
639,361,240301,2,0,43,2,0,5,7,9
729,113,1702500,3,2,77,0,0,2,11,9
244,107,1402000,3,3,18,0,1,2,9,9
114,344,1211100,2,4,101,0,0,2,4,9
779,126,215510,3,1,120,0,0,2,4,9
779,126,215510,3,4,102,0,0,6,4,9
339,341,1552500,2,0,40,0,0,2,5,9
339,341,1552500,2,3,14,0,1,2,10,9
649,361,2405001,2,0,50,0,1,3,3,9
724,126,170703,3,0,48,0,0,5,17,9
101,344,1200001,2,0,43,0,0,2,17,9
339,341,1552500,2,3,28,0,1,2,4,9
101,344,1200001,2,0,52,0,0,5,1,9
439,109,1553001,3,3,10,0,1,4,3,9
109,106,1200502,3,2,61,0,0,5,22,9
639,361,2403001,2,0,40,0,0,5,10,9
203,352,140100,2,4,110,0,0,4,11,9
397,105,1600500,3,0,48,0,0,5,5,9
922,348,511001,2,2,79,0,0,4,9,9
339,341,1552500,2,3,18,0,0,2,16,9
339,341,1552500,2,3,14,17,0,2,16,9
101,344,1200001,2,4,113,0,1,2,2,9
244,107,1402000,3,2,76,0,0,2,13,9
782,236,2650101,2,3,18,1,0,2,6,9
244,107,1402000,3,3,14,0,1,3,4,9
847,125,5110,3,4,103,0,0,6,13,9
779,126,215510,3,2,73,0,0,2,9,9
339,341,1552500,2,3,18,0,0,5,3,9
109,106,1201001,3,1,121,0,0,4,3,9
478,343,1651503,2,0,52,1,0,5,11,9
779,126,215510,3,2,75,0,0,2,3,9
439,109,1553501,3,0,52,0,0,5,1,9
106,106,1200503,3,0,46,0,0,2,17,9
905,347,119203,2,2,62,0,0,3,15,9
779,126,215510,3,2,83,0,0,5,19,9
101,344,1200001,2,0,43,0,0,5,9,9
106,106,1200800,3,4,103,0,0,2,16,9
782,236,2650102,2,4,105,0,0,5,2,9
101,344,1200001,2,0,42,0,1,5,3,9
339,341,1552500,2,2,90,0,1,2,10,9
922,348,511001,2,0,42,2,0,5,13,9
478,343,1651503,2,0,47,1,0,2,5,9
478,343,1651503,2,2,73,1,0,2,6,9
339,341,1552500,2,2,78,0,0,3,4,9
105,106,1211300,3,4,105,0,0,2,14,9
681,233,2601001,2,4,112,0,1,6,2,9
750,359,2053000,2,3,23,2,1,2,1,9
922,348,511001,2,4,114,2,0,6,10,9
503,117,2201601,3,2,75,0,0,2,12,9
397,105,1600500,3,2,79,0,0,4,11,9
259,351,1450001,2,3,30,0,1,5,1,9
511,235,2200300,2,3,18,0,0,2,6,9
339,341,1552500,2,2,70,0,0,2,13,9
494,111,1655000,3,2,62,0,0,4,11,9
969,881,51101,2,2,79,0,0,5,12,9
793,118,265025,3,3,34,0,0,3,4,9
639,361,2403002,2,0,42,0,0,5,10,9
478,343,1651503,2,4,115,1,0,5,15,9
181,355,1350500,2,2,81,0,0,2,4,9
792,118,265031,3,1,122,0,0,2,7,9
113,344,1201401,2,0,41,0,0,3,6,9
779,126,215510,3,1,122,0,0,4,3,9
339,341,1552500,2,2,78,0,0,2,16,9
339,341,1552500,2,4,113,0,0,2,15,9
114,344,1211100,2,3,14,0,0,5,2,9
109,106,1200501,3,2,77,0,0,2,2,9
397,105,1600500,3,0,48,0,0,2,17,9
490,232,1654000,2,2,73,0,0,5,14,9
969,881,51101,2,0,45,0,0,3,3,9
114,344,1211100,2,0,40,0,0,2,1,9
109,106,1200501,3,2,77,0,0,5,17,9
101,344,1200001,2,3,5,0,0,2,15,9
114,344,1211100,2,2,90,0,0,3,12,9
105,106,1211200,3,4,100,0,0,5,8,9
339,341,1552500,2,2,66,0,0,4,11,9
922,348,511001,2,1,120,0,0,5,2,9
705,358,1702000,2,3,5,0,0,5,4,9
113,344,1201401,2,2,71,0,1,2,19,9
339,341,1552500,2,4,112,0,0,2,6,9
397,105,1600500,3,2,67,0,1,2,7,9
922,348,511001,2,2,67,0,0,2,18,9
724,126,1706501,3,0,46,0,0,3,18,9
478,343,1651503,2,0,41,1,0,3,12,9
577,250,2222500,1,3,24,0,0,2,3,9
339,341,1552500,2,1,120,0,0,2,11,9
114,344,1211100,2,3,9,0,0,5,19,9
101,344,1200001,2,1,120,0,1,5,15,9
268,121,1450502,3,1,120,0,0,2,1,9
439,109,1553004,3,3,34,0,0,2,15,9
922,348,5110,2,4,115,0,0,5,17,9
